"name_of
district_tahsil_
sub_tahsil","number_of_villages_as
per",nan,number_of_towns,nan_1,remarks,source_page,source_file,district_name,alphabetical_list_of_villages_cd_block_chauntra,nan_2,on_rs,"egalliv
eman","on
edoc
noitacol","dednuor
seratceh
ni
_ecalp
egalliv
lamiced
eht
fo
aera_eno
latot_ot
pu","
susnec
1102
_
noitalupop
latot","susnec
1102_
sdlohesuoh
fo
rebmun",unnamed,nan_3,"number_of_educational_amenities_available_if_not
available_within_the_village,_the_distance_range_code
viz;_a_for_<_5_kms,_b_for_5_10_kms_and_c_for_10+
kms_of_nearest_place_where_facility_is_available_is
given",nan_4,nan_5,nan_6,nan_7,nan_8,nan_9,"on
_rs","number_of_medical_amenities_available_
_if_not_available_within_the_village_,_the
distance_range_code_viz;_a_for_<_5_kms,
b_for_5_10_kms_and_c_for_10+_kms_of
nearest_place_where_facility_is_available_is
given","number_of_non_government
medical_amenities_available",availability_of_drinking_water_yes_no,unnamed_1,"availability_of_toilet_&
others_yes_no","communication_and_transport_facilities_if_amenities
available_code_yes_is_given_except_for_village_pin_cod,_if
not_available_within_the_village,_the_distance_range_code
viz;_a_for_<_5_kms,_b_for_5_10_kms_and_c_for_10+_kms_of
nearest_place_where_facility_is_available_is_given","village_connected_to_highways,village_roads,_banks_&_credit
societies_if_amenities_available_code_yes_is_given,_if_not
available_within_the_village_,_the_distance_range_code_viz;_a
for_<_5_kms,_b_for_5_10_kms_and_c_for_10+_kms_of_nearest
place_where_facility_is_available_is_given","availability_of_miscellaneous_facilities_if_amenities_available_code_
yes_is_given,_if_not_available_within_the_village_,_the_distance_range
code_viz;_a_for_<_5_kms,_b_for_5_10_kms_and_c_for_10+_kms_of
nearest_place_where_facility_is_available_is_given","availability_of_miscellaneous
facilities_contd…","availability_of_electricity
_yes_no",land_use,"name_of_three
most
important
commodities
manufactured","egalliv
fo
eman",alphabetical_list_of_villages_cd_block_drang,alphabetical_list_of_villages_cd_block_dharmpur,alphabetical_list_of_villages_cd_block_gopalpur,alphabetical_list_of_villages_cd_block_sundarnagar,alphabetical_list_of_villages_cd_block_balh,alphabetical_list_of_villages_cd_block_mandi_sadar,alphabetical_list_of_villages_cd_block_gohar,alphabetical_list_of_villages_cd_block_seraj,alphabetical_list_of_villages_cd_block_karsog,on_ls,"kcolb
_d_c
fo
eman","kcolb
_d
_c
eht
ni
segalliv
detibahni
fo
rebmun
latot","kcolb
_d_c
fo
noitalupop
latot",villages_having_medical_institutions,nan_10,nan_11,nan_12,"kcolb
dc
fo
eman",yrasnepsid,"latipsoh
yraniretev","cinilc
htlaeh
elibom","ertnec
eraflew
ylimaf","eerged
sbbm
htiw_
renoitcarp
lacidem","eerged
rehto
htiw_
renoitcarp
lacidem","pohs
enicidem",srehto,"ytilicaf
lacidem
on",villages_having_drinking_water,villages_having_post_&_telegraph,villages_having_transport,credit_societies,"villages_having_recreation
facility",miscellaneous,"villages
having_power
supply",sl_no,name_of_c_d_block,total_number_of_inhabited_villages,number_of_primary_schools,"name_of_c_d_
block","total_number
of_inhabited
villages",type_of_educational_institutions_available,"name_of_c_d
_block",number_of_villages_with_different_sources_of_drinking_water_facilities_available,"total
villages","uninhabited
villages","inhabited
villages","number_of_inhabited_villages_having_no
scheduled_castes_population","number_of_inhabited_villages_having_no
scheduled_tribes_population","range_of_scheduled_castes_population
_percentages",location_code_number,name_of_village,"range_of_scheduled_tribes_population
_percentages","on
_ls","nwot
fo
sutats
civic
dna
eman
,ssalc","sdnalsi_noitats
ecilop
_lishat
_kulat
fo
eman
_cte","mk
_qs_
aera","sselesuoh
gnidulcni
_susnec
sdlohesuoh
1102_
fo_sdlohesuoh
rebmun","susnec
1102_
noitalupop
setsac
deludehcs","susnec
1102_
noitalupop
sebirt
deludehcs",1791,1891,1991,1002,1102,"susnec
1102_
ytisned",sex_ratio,"sl_
no",name_of_town,physical_aspects,railway_station,bus_route,"charitable
hospital_nursing
home_numbers","medicine_shop
_numbers","management
institute_
colleges",polytechnics,"recognised
shorthand,
typewriting_and
vocational
training
institutions","non_formal
education
center
_sarva
shiksha
abhiyan
center","special_school_for
disabled",others,"no_of_orphanage
home","working
women's
hostles","no_of_old_age
home",stadium,"cinema
theatre","auditorium_
community
halls","public
libraries","reading
rooms",names_of_three_most_important_commodities_manufactured,number_of_banks,"number_of
agricultural
credit
societies","number_of
non_agricultural
credit_societies",statement,system_of_drainage,number_of_latrines,"el
no_of_tap
points_public
hydrants
installed_for
supply_of
protected_water",ectricity_number_of_connectio,"ns_
sl_
no"
,,"Area under different types of land use ( in hectares rounded
up to one decimal place)",,,,1216,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,".oN
.rS",,,,,,,,,,,,,"egalliv
emaN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"suoenallecsiM
.cte
rednU
sporC
dnaL eerT",,"dnaL
etsaW
elbarutluC",,1216,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"naht
rehto
swollaf
sdnal
wollaF tnerruc",,,,,,,,"swollaF
tnerruC",,"nwoS
aerA
teN","aerA
dnaL
detagirrI
latoT","dnaL
detagirri-nU
latoT aerA",")
C
(
slanaC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108,,109,,1216,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,110,,,,,,,1,111,,112,113,114,115,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Area irrigated by source
(in hectare).",,,,1217,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,)WT/W(sllew-ebuT/slleW,,)L/T(sekaL/sknaT,,1217,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,")FW(sllaF
retaW",,,,,,,,)O(srehtO,,dnoceS,drihT,,,,,,,,,,,,,,,,,tsriF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116,,117,,1217,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,118,,,,,,,,119,,121,122,,,,,1,,,,,,,,,,,,120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,")P(
loohcs
yramirP",,")M(
loohcs
elddiM",,1218,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,")S(
loohcS
yradnoceS",,,,,,,")PP(
loohcs
yramirP-erP","loohcs
yradnoceS
roineS
)SS(",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,9,,1218,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,10,1,2,3,4,5,6,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,")CE(egelloc
gnireenignE",,")CM(
egelloc
lacideM",,1219,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,")IM(
etutitsni
tnemeganaM",,,,,,,"ertnec
htlaeh
ytinummoC
)CHC(",")tP(
cinhcetyloP",,"loohcs
gniniart
lanoitacoV
ITI/","ertnec
gniniart
lamrof-noN
)CTFN(","delbasid
rof
loohcs
laicepS
)DSS(",")yficeps(
srehtO","ertnec
htlaeh
yramirP
)CHP(","ertnec
bus
htlaeh
yramirP
)SHP(",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,14,,1219,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,15,,2,,,,,21,16,12.0,17,18,19,20,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,")CBT(
cinilc
.B.T",,")AH(
cihtapolla-latipsoH",,1220,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"evitanretla-latipsoH
)OH(
enicidem",,,,,,,,")D(
yrasnepsiD",,")HV(
latipsoh
yranireteV",")CHM(
cinilc
htlaeh
eliboM","ertnec
eraflew
ylimaF )CWF(","htiw
renoititcarp
eergeD
lacideM
SBBM","htiw
renoititcarp
eerged
lacideM
rehto","htiw
renoititcarp
eerged
lacideM
on",,,".emoh
.tvoG
gnisruN/latipsoh
non
elbatirahC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,,26,,1220,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,27,,2,,,,,,28,,29,30,31,33,34,35,1,24.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"pohS
enicideM",,srehtO,,1221,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"/
derevoC(
)llew
retaw
derevocnU
lleW",,,,,,,"dna
renoititcarp
.
lanoitidarT relaeh
htiaf","pmuP
dnaH",,"llew
eroB
/
sllew
ebuT",gnirpS,"lanaC
/
reviR","ekaL
/
dnoP
/
knaT",srehtO,,,,,")detaertnU/detaerT(
retaw
paT","gnidulcni
teliot
ytinummoC
.htab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,,38,,1221,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,40,,2,,,,,36,41,,42,43,44,45,46,,1,,,39,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,".egalliv
teltuo
ro
tram
erawdrah eht
yratinas raen
elbaliava
yratinas
laruR",,"ro
sag rof
-oib etsaw
.esu
ytinummoC
fo evitcudorp
elcycer",,1222,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,")OPS(
eciffo
tsop
buS",,,,,,,")OP(eciffo
tsoP","eciffo
hpargeleT
)OT&P(
&
tsoP",,"edoC
niP
egalliV",")senil
dnaL(
senohpeleT",")OCP(
eciffo
llac
cilbuP","egarevoc
enohp
eliboM",,,,,,,,"gnidulcxe
teliot
ytinummoC
.htab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,,50,,1222,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,52,,2,,,,,51,53,,54,55,56,57,,,1,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ytilicaf
reiruoc
etavirP",,"&
cilbuP(
ecivres
)etavirP
suB",,1223,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"snoitats
yawliaR",,,,,,,"lanoitan
ot )HN(yawhgih
detcennoC","sotuA
deifidoM/otuA",,"snaV
dna
sixaT",srotcarT,"&
launaM(swahskcir
)nevird
dellup-elcyC
enihcaM","slamina
yb
nevird
straC","ecivres
yrref
reviR/
aeS",,,,,,"etats
ot )HS(yawhgih
detcennoC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,,60,,1223,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,61,,2,,,,,68,62,,63,64,65,66,67,,1,,,,69,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"tcirtsid
srehto
ot
detcennoC
daor",,"sdaor
accuP",,1224,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"sdaor
ahchctuK",,,,,,,")GHS(
puorG
pleH-fleS","W(madacam
dednuob
retaW",,"yawretaw
)WN()lanac/revir(
elbagivaN",")PF(
shtaptooF","evitarepo-oC
&
laicremmoC
sknaB",MTA,"tiderC
larutlucirgA
seiteicoS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,71,,72,,1224,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,73,,2,,,,,80,74,,75,76,77,78,79,,1,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"tekram
ralugeR
/
sidnaM",,"taaH
ylkeeW",,1225,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"gnitekram
larutlucirgA
yteicos",,,,,,,,"emehcS
)sertneC
dlihC
tnempoleveD
lanoitirtuN(
detargetnI",,")sertneC
ertneC
idawnagnA lanoitirtuN(",")sertneC
lanoitirtuN(
srehtO","laicoS
detiderccA(
)tsivitcA
AHSA htlaeH","ertnec
VT
tuohtiw/htiw
ytinummoC",",dleiF
stropS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,82,,83,,1225,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,84,,2,,,,,,85,,86,87,88,89,90,,1,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"llaH
oediV
/
ameniC",,"yrarbiL
cilbuP",,1226,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"mooR
gnidaeR
cilbuP",,,,,,,,"ylppuS
repapsweN",,"noitats
gnilloP
ylbmessA","noitartsigeR
htaeD
&
eciffO
htriB",")GAE(
rof
esU
ylppuS
larutlucirgA
rewoP",")CE(
rof esU
ylppuS
laicremmoC
rewoP","sesU
llA
rof
ylppuS
rewoP
)AE(",,,,,,,,,,,"noitaerceR
/
bulC
stropS ertneC","citsemoD
rof
ylppuS
)DE(
rewoP
esU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,92,,93,,1226,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,94,,2,,,,,,95,,96,97,99,100,101,,1,,,,,,,,,91,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Area under different types of land use
( in hectares rounded up to one
decimal place)",,1227,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,"egalliv
emaN",,,,,,,,,,,,,".oN
.rS",,,,,,,Nearest Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"a
.
.e.i 01-5 smk
edoc +01
rof
egnar b rof
,smK
c
ecnatsiD dna
5
< smK
rof",,stseroF,,1227,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"-noN sesU
rednu larutlucirga
aerA",,,,,,,,"elbavitluc-nU
dna
nerraB
dnal",,"dna
sdnaL
serutsaP
gnizarG
tnenamreP
rehtO",,,,,,,,,,,,,,,,,emaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103,,104,,1227,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,105,,,,,,,2,106,,107,,,,,,,,,,1,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Area under different types of land use ( in hectares rounded
up to one decimal place)",,,,1228,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,".oN
.rS",,,,,,,,,,,,,"egalliv
emaN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"suoenallecsiM
.cte
rednU
sporC
dnaL eerT",,"dnaL
etsaW
elbarutluC",,1228,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"naht
rehto
swollaf
sdnal
wollaF tnerruc",,,,,,,,"swollaF
tnerruC",,"nwoS
aerA
teN","aerA
dnaL
detagirrI
latoT","dnaL
detagirri-nU
latoT aerA",")
C
(
slanaC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108,,109,,1228,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,110,,,,,,,1,111,,112,113,114,115,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Area irrigated by source
(in hectare).",,,,1229,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,)WT/W(sllew-ebuT/slleW,,)L/T(sekaL/sknaT,,1229,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,")FW(sllaF
retaW",,,,,,,,)O(srehtO,,dnoceS,drihT,,,,,,,,,,,,,,,,,tsriF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116,,117,,1229,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,118,,,,,,,,119,,121,122,,,,,1,,,,,,,,,,,,120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,")P(
loohcs
yramirP",,")M(
loohcs
elddiM",,1230,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,")S(
loohcS
yradnoceS",,,,,,,")PP(
loohcs
yramirP-erP","loohcs
yradnoceS
roineS
)SS(",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,9,,1230,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,10,1,2,3,4,5,6,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,")CE(egelloc
gnireenignE",,")CM(
egelloc
lacideM",,1231,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,")IM(
etutitsni
tnemeganaM",,,,,,,"ertnec
htlaeh
ytinummoC
)CHC(",")tP(
cinhcetyloP",,"loohcs
gniniart
lanoitacoV
ITI/","ertnec
gniniart
lamrof-noN
)CTFN(","delbasid
rof
loohcs
laicepS
)DSS(",")yficeps(
srehtO","ertnec
htlaeh
yramirP
)CHP(","ertnec
bus
htlaeh
yramirP
)SHP(",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,14,,1231,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,15,,2,,,,,21,16,12.0,17,18,19,20,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,")CBT(
cinilc
.B.T",,")AH(
cihtapolla-latipsoH",,1232,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"evitanretla-latipsoH
)OH(
enicidem",,,,,,,,")D(
yrasnepsiD",,")HV(
latipsoh
yranireteV",")CHM(
cinilc
htlaeh
eliboM","ertnec
eraflew
ylimaF )CWF(","htiw
renoititcarp
eergeD
lacideM
SBBM","htiw
renoititcarp
eerged
lacideM
rehto","htiw
renoititcarp
eerged
lacideM
on",,,".emoh
.tvoG
gnisruN/latipsoh
non
elbatirahC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,,26,,1232,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,27,,2,,,,,,28,,29,30,31,33,34,35,1,24.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"pohS
enicideM",,srehtO,,1233,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"/
derevoC(
)llew
retaw
derevocnU
lleW",,,,,,,"dna
renoititcarp
.
lanoitidarT relaeh
htiaf","pmuP
dnaH",,"llew
eroB
/
sllew
ebuT",gnirpS,"lanaC
/
reviR","ekaL
/
dnoP
/
knaT",srehtO,,,,,")detaertnU/detaerT(
retaw
paT","gnidulcni
teliot
ytinummoC
.htab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,,38,,1233,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,40,,2,,,,,36,41,,42,43,44,45,46,,1,,,39,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,".egalliv
teltuo
ro
tram
erawdrah eht
yratinas raen
elbaliava
yratinas
laruR",,"ro
sag rof
-oib etsaw
.esu
ytinummoC
fo evitcudorp
elcycer",,1234,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,")OPS(
eciffo
tsop
buS",,,,,,,")OP(eciffo
tsoP","eciffo
hpargeleT
)OT&P(
&
tsoP",,"edoC
niP
egalliV",")senil
dnaL(
senohpeleT",")OCP(
eciffo
llac
cilbuP","egarevoc
enohp
eliboM",,,,,,,,"gnidulcxe
teliot
ytinummoC
.htab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,,50,,1234,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,52,,2,,,,,51,53,,54,55,56,57,,,1,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ytilicaf
reiruoc
etavirP",,"&
cilbuP(
ecivres
)etavirP
suB",,1235,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"snoitats
yawliaR",,,,,,,"lanoitan
ot )HN(yawhgih
detcennoC","sotuA
deifidoM/otuA",,"snaV
dna
sixaT",srotcarT,"&
launaM(swahskcir
)nevird
dellup-elcyC
enihcaM","slamina
yb
nevird
straC","ecivres
yrref
reviR/
aeS",,,,,,"etats
ot )HS(yawhgih
detcennoC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,,60,,1235,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,61,,2,,,,,68,62,,63,64,65,66,67,,1,,,,69,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"tcirtsid
srehto
ot
detcennoC
daor",,"sdaor
accuP",,1236,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,"sdaor
ahchctuK",,,,,,,")GHS(
puorG
pleH-fleS","W(madacam
dednuob
retaW",,"yawretaw
)WN()lanac/revir(
elbagivaN",")PF(
shtaptooF","evitarepo-oC
&
laicremmoC
sknaB",MTA,"tiderC
larutlucirgA
seiteicoS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
